category,sub_category,country_material_group,country_mat_grp_desc,material_code,material_description,ean_code,creation_date,capacity,sub_brand,variant,technology,product_dim,net_wt,gross_wt,energy,energy_year,finish_type,finish_name,color,channel,is_npi,parent_code,parent_code_description,segment,segment1,market_type,production_flag,billing_flag,category
MWO,SOLO,50000066,MAGICOOK PRO 20SE BLK,50070,MAGICOOK PRO 20SE BLACK,8905191048119,8/5/2025,20L,MAGICOOK,PRO,ELECTRONIC,,0.000,0.000,NA,NA,SOLID,BLACK,BLACK,ALL,NO,,/43112/1.5T 3DCOOL XTREME HD 4S-W-ODU('18),SOLO SEG,Solo MWO,SOURCED,FALSE,,MWO
AC,SPLIT,43000128,1.5T 3DCOOL ELITE WIFI PR,43139,1.5T 3DCOOL ELITE WIFI PRO 3S COPR INV-O,8905191000209,10/18/2019,1.5T,3DCOOL,ELITE PRO,INVERTER,,0.000,0.000,3S,2020,WHITE,WHITE,WHITE,ALL,NO,,/43112/1.5T 3DCOOL XTREME HD 4S-W-ODU('18),SPLT SEG,Split AC,SOURCED,FALSE,,AC
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43117,1.5T 3DCOOL PURAFRESH INV 3S COPR-ODU-CU,8904123044250,10/17/2017,1.5T,3DCOOL,NA,INVERTER,,0.000,0.000,3S,2018,WHITE,WHITE,WHITE,ALL,NO,,/43112/1.5T 3DCOOL XTREME HD 4S-W-ODU('18),SPLT SEG,Split AC,SOURCED,FALSE,,AC
AC,SPLIT,43000020,1 T 3D COOL CC PLT V-CUFT,43116,1.5T 3DCOOL WiFi INVTR 3S COPR-W-ODU-CUF,8904123044243,10/17/2017,1.5T,3DCOOL,NA,INVERTER,,0.000,0.000,3S,2018,WHITE,WHITE,WHITE,ALL,NO,,/43112/1.5T 3DCOOL XTREME HD 4S-W-ODU('18),SPLT SEG,Split AC,SOURCED,FALSE,,AC
