category,sub_category,category_code,category_description,material_code,material_description
FF,FF TOP MOUNT,20004764,NEO NF258 CLS PLS ROSE(1S,22303,NEO NF258 CLS PLS SAPPHIRE ROSE(1S)-Y
FF,FF TOP MOUNT,20004763,NEO NF258 CLS PLS PEONY(1,22302,NEO NF258 CLS PLS SAPPHIRE PEONY(1S)-Y
FF,FF TOP MOUNT,20004616,NEO 258LH CLS PLS PEONY(2,22077,NEO 258LH CLS PLS Sapphire Peony(2S)-TL
FF,FF TOP MOUNT,20004762,NEO NF258 CLS PLS IMPL ST,22300,NEO NF258 CLS PLS IMPERIAL STEEL(1S)-Y
FF,FF TOP MOUNT,20004617,NEO 258LH CLS PLS A STEEL,22078,NEO 258LH CLS PLS Athena Steel(2S)-TL
FF,FF TOP MOUNT,20004618,NEO 258LH CLS PLS MIDNGT,22079,NEO 258LH CLS PLS Midnight Athena(2S)-TL
FF,FF TOP MOUNT,20004619,NEO 258LH CLSPLS MAGNOLIA,22084,NEO 258LH CLS PLS WINE MAGNOLIA(2S)-TL
FF,FF TOP MOUNT,20004619,NEO 258LH CLSPLS MAGNOLIA,22085,NEO 258LH CLS PLS SAPPHIRE MAGNOLIA(2S)T
FF,FF TOP MOUNT,20004502,NEO 258LH CLS PLS WINE VI,22086,NEO 258LH CLS PLS PURPLE VIOLA(2S)-TL
FF,FF TOP MOUNT,20004620,NEO 278LH PRM SAPPHIRE MU,22087,NEO 278LH PRM WINE MULIA(2S)-TL
FF,FF TOP MOUNT,20004620,NEO 278LH PRM SAPPHIRE MU,22088,NEO 278LH PRM SAPPHIRE MULIA(2S)-TL
FF,FF TOP MOUNT,20004621,FP 263D PROTTON ROY ARCTI,22089,FP 263D PROTTON ROY ARCTIC STEEL(N)
FF,FF TOP MOUNT,20004622,IF INV CNV 455 ALPHA STL,22090,IF INV CNV 455 ALPHA STEEL (3S)-Z
FF,FF TOP MOUNT,20004623,IF INV CNV PLATINA 455 AL,22091,IF INV CNV PLATINA 455 ALPHA STEEL(3S)-Z
FF,FF TOP MOUNT,20004624,IF INV CNV 455 STL ONYX (,22092,IF INV CNV 455 Steel Onyx (3S)-Z
FF,FF TOP MOUNT,20004625,IF INV CNV PLATINA 455 ST,22093,IF INV CNV PLATINA 455 Steel Onyx(3S)-Z
FF,FF TOP MOUNT,20004626,IF INV CNV 480 ALPHA STL,22094,IF INV CNV 480 ALPHA STEEL (3S)-Z
FF,FF TOP MOUNT,20004627,IF INV CNV 480 STL ONYX (,22095,IF INV CNV 480 Steel Onyx (3S)-Z
FF,FF TOP MOUNT,20004887,IF INV CNV 480 PLT ILUSA,22442,IF INV CNV 480 PLATINA ILLUSIA STL(2S)-Y
FF,FF TOP MOUNT,20004628,IF INV CNV PLATINA 480 ST,22096,IF INV CNV PLATINA 480 STEEL ONYX(3S)-Z
FF,FF TOP MOUNT,20004888,IF INV CNV 480 PLT ALP ST,22443,IF INV CNV 480 PLATINA ALPHA STEEL(2S)-Y
FF,FF TOP MOUNT,20004629,IF INV CNV PLATINA 480 AL,22097,IF INV CNV PLATINA 480 ALPHA STEEL(3S)-Z
FF,FF 3 DOOR,20004649,FP 263D PROTN ROY BRUSHED,22118,FP 263D PROTTON ROY BRUSHED GOLD (N)
FF,FF 3 DOOR,20004650,FP 263D PROTN ROY INDIGO,22119,FP 263D PROTTON ROY INDIGO STEEL (N)
FF,FF 3 DOOR,20004651,FP 283D PROTN ROY BRUSHED,22120,FP 283D PROTTON ROY BRUSHED GOLD (N)
